mint,status,reasons
C2zyf9vXkv5S7ukgN62iULG6RePRgnrVN9gZZnkUpump,not_scam,
EJsUT4oARJt64iy1wxgXD77bmeEMtfgy6kznCCfipump,scam,Бандл с девом (индекс: 2)
CcqDccZyFEPfnxWg5VTfWzuZdpbbsiQWLoFa3zK5pump,not_scam,
7Y2TPeq3hqw21LRTCi4wBWoivDngCpNNJsN1hzhZpump,not_scam,
GLcy7MnYz1EDeXcEpoGtsjfc9zLyM5jFeeQsFiY2pump,not_scam,
5CHoRzcr9qkPoQJtzPqvQd8jCirHbjmkkUqa6nuXpump,not_scam,
Dzdm5eRGgBjyEegHLEJEfQohWXXE64f4yXERZg3Epump,scam,Бандл с девом (индекс: 2)
CyfX7XqWN225p6nC6HnsZFR3CfFmWjvmcMuX6zJ1pump,not_scam,
3c8Q1gZr3x6NRwhv1zAjcggZ2Fa5DGnaN8PWM3Vvpump,not_scam,
7ffT7spRDqCTsNCf1Ndpn4d9P2CWG2EFhfm1BBUcpump,not_scam,
3tqd5a7DLorqY3UZ592jMHQCNSerbesBaAEBUS6ypump,not_scam,
2htdAbmwx9FrBAeCuZVVcHEDiNkxjfoDQPKcLyuKpump,scam,Бандл с девом (индекс: 2)
6JvjeUMckovyowZ8fU6qPyhgyVB3FaHRZ1NaAyrV1hEB,scam,Минт не заканчивается на 'pump'
3VB8imFQM9qChznaW7F2yqLHZTa55P1kAe6ZzxvYpump,not_scam,
6iufnABcztPp1Ywzci1dLjoasQrZgYveSg9rLss4kwQ2,scam,Минт не заканчивается на 'pump'
GZefHYkMnMmpPGG9S3HaaWRycBSgoVFbFg4JsM5Xpump,not_scam,
E7zKwDFibU1GuvVPbHc1VAsYemfiC4KvQQ824mJRpump,scam,Бандл с девом (индекс: 2)
AekvMbPj9CHEswMadq7qJkmqMs6ZNTVYwyNijowwpump,not_scam,
HWDEZbut52dsdCJgKm9RkYkkWcTKXt1wPwn6nJEQpump,not_scam,
9dtsaDtxu2AB5mDK2AiEsj5EQg8tX7yfcZmiSM11pump,scam,Бандл с девом (индекс: 2)
AzGbEP2huyB3t1LQ4ofCHaoUm237gRv2ToaYurh6pump,not_scam,
6fp9jStMWdA4Hi83BaY5TaJeNjkzL7tTiXyu9QyRpump,not_scam,
EM2sD24zR3pKETBzbDtGKU82Kv4QANrY8mhGPfknpump,not_scam,
iSKricHQ8HySGYQbwEjWKj3Waap24GHZUxoYLbLpump,scam,Бандл с девом (индекс: 2)
E7wKn5DFMKC4xNf9tKJfp7wK93Km2UfMJHwQErZ9pump,scam,Бандл с девом (индекс: 2)
DBWr2bM5hsQK1LDZ7haoWWe376sC2XFPwoNPSXzapump,not_scam,
F3q9ZfeytCg5Mpf2VbueKA2MQsjStNi1T1xthpY2H57G,scam,Минт не заканчивается на 'pump'
C5RMtSDAHtrwzXeRejCg9LnGckBmXp4Ndnqgksbapump,scam,Бандл с девом (индекс: 2)
6HnF5CVor19j7f4Brr3iGEwzpCe3Gy2gGj2k4Xhopump,not_scam,
5fQimCA3VEUJnehXDcsBzqAG4r31zkHYA9StThAZpump,not_scam,
BD9P4gPDNsUZAG51UQtvkc5ciceWhSHhXkcSUyMgpump,not_scam,
HngFGSNYxQaCQwLesLarvtrgK3HXH9uqFxQ7bpo4pump,not_scam,
5Q4CvLjvgFyS287pVvs9sevZQQSU8GyUz1Juss2Spump,scam,Бандл с девом (индекс: 2)
W4NKczcz7rPQHV3t6bs7by93xBv7M4HtygPhReBpump,not_scam,
Dw7KuGQYtY6FE11JrbFCzrHf4RiFz4tytMf1AmUWpump,not_scam,
JDFcHVwPzj4RAW5Ze4frzyFbHK11bSXED8ytqPGLpump,not_scam,
ABUSRpXAtrzYgYsgoUZugFHoRRxGHscTKwxfv78Ypump,not_scam,
Ccy8ucBZAE41QV1muoBtxFrjBBx7cQ1Mnh9qhyM7pump,not_scam,
Bp1rfTegmLvpZGKJCmbLPHpoTepqHy3XuyqKKWAapump,scam,Бандл с девом (индекс: 2)
EpWfrHQXHnoeKDjWeJYHSgShV8LEM7Vy2YUnGQ83RTq5,scam,Минт не заканчивается на 'pump'
ArhWpyG9M58YawxU2HkaBgEVAS6bMYu7UAJGe4XKpump,not_scam,
BR2y1aCV6b43835zrzrpcCHTTHZsDXhRTuRbt2qepump,not_scam,
BsNxQsqLbLVP4cqAbDognKWVsmLpjP7sHjBEPkU4pump,scam,Бандл с девом (индекс: 3)
3WUgBH8Z1SNReVcFbj8TfC257fxfjxmwzmsYoRUbpump,not_scam,
3sbd7v3L4zxQZ9ZS7SNg2iKb7BfZkvMLyfDvtUiopump,not_scam,
6twRjwbFG5Tt6Xqtdna1LMXBmu2HSQfadMJb32AXpump,not_scam,
7QXkReazFbsLgMBbZCUSeV37whRFENpf95JXHjtXpump,not_scam,
7zQKAAHwDjfDz8rYMj9mPLUnKMaWfgoY2eNBo816pump,scam,Бандл с девом (индекс: 2)
8uXpjGqu7ZnA9Rmgpp5iksBAQ6UE7XWgDp5948oypump,scam,Бандл с девом (индекс: 2)
3QkCPg6zAeaK99dahHCqFcpjraZEeopxPcvP4HDxpump,not_scam,
6xNZjetPyCy1LBtrJ53d6mMVu5iryyyiobqdYSuBJ4zG,scam,Минт не заканчивается на 'pump'
DXFonKfUmW1rQSM8hSunKeQzdfgVRm9qB1bsevHypump,not_scam,
HPrkyN439oV9YW17iYsmaphy6E9GF6LF1EVeZ3cqpump,not_scam,
H6MB4gHWy6K5wLRbtLuSvav4c2NQA6uiKaFfedSKpump,not_scam,
4CAmvv1u3Vhjosu9m4GrApJQB3He5yMPUgjRMVwFpump,not_scam,
FRaNnPwrRKVpSYwHtj84vc5SwYoRWekDEBZ66usFpump,not_scam,
GvaqCBjYsFhsoRSpHzPfU5XoR8be2KdkJD4bc5d2pump,not_scam,
Ab1Sr1GD58Tu9ZnL6gL3LsS38bPQfFft6xs7wMSNpump,not_scam,
5rt8ckKs5koDJhqGhjwmiKWDYzKyNec5KCz7JPXipump,not_scam,
8DYqDKZsZbnDQPhS32N8tQTaUGt6LgwCefUuzWNNpump,not_scam,
GbLwfP7sSF6naNSKG3VamHN8Dz3o41EA3dLn6UuWpump,not_scam,
EJwAbBmPNyjHiQmTvZvjfhN5vk57DryaUEnr3nxUpump,not_scam,
HcwcUwqDnFcwhL1iQSciELzZGgRaedPzSix7kfaBkmrM,scam,Бандл с девом (индекс: 3); Минт не заканчивается на 'pump'
Fn2vzv6XVsLWzLHzhhpvH5iXUD2h6WW9D96xYq5Wpump,scam,Бандл с девом (индекс: 2)
Gi4gt8jxQDxudSqtWDtPjBykNc5CegLKHk2S1NDYpump,scam,Бандл с девом (индекс: 2)
ZC9ykDth62kSNcvmuTKXPR4CpxT4ot93Kgz83zkpump,not_scam,
6yxXeK1HsdhHjANsZZ5P8D5TSqtXqVkFthdJsyzQCbpG,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
H5E9UqeKxJy5f9bpvKHSqoZ2NLLYCEFLmxgPR2z7pump,not_scam,
B96dqnJojhpWfmckebrxXucHznTCqDMtuxFURiPspump,not_scam,
C4byV7xVkMyBHBAmqHzhSZyj9nTmDr3YEu9zTGDepump,not_scam,
7gGvJk2Hq8pVuod1Z43kE5kHhUVevEqNzzPJiMhcpump,scam,Бандл с девом (индекс: 2)
BKhEbg52c6kSLegvkvbi8KNiq5ygUsBZnfk7GPHspump,scam,Бандл с девом (индекс: 2)
CrfLaTUEwrw5iKNFq2SAoEN75SBwcBVuxCTSJGfPpump,not_scam,
HthQKKW6M9Q8pb27r9xoqjfviiJ3kzdojP8TKqjJpump,not_scam,
BzcZwdQeqXnDKb5sVyBtu69qV76a1RjGgf7TZNUgpump,not_scam,
54PwWL4AmrvZkJAus7kxtbcXVuE33sVZPX8N15qppump,not_scam,
63bpnCja1pGB2HSazkS8FAPAUkYgcXoDwYHfvZZveBot,scam,Минт не заканчивается на 'pump'
FS9mrMGrnLsy2GMeXGDVX5mqMCWiWQHFwnzQpHY4pump,not_scam,
FSdPjizhAVLrv3sr8HBK3NJy1K3qU8D79QFzJdTdpump,not_scam,
87HxFbmTGXVmRsyitS2D8c1ZSwHVhksSRtSeYCRLpump,not_scam,
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,scam,Минт не заканчивается на 'pump'
2QWGBH2X4GdX6ktN3jDzEbwjTex5pQugP5KTMsdwpump,not_scam,
3WtdzwYgRs43N8kxyhCeiBcF64KqnSvn4kiJbn7quzyx,scam,Минт не заканчивается на 'pump'
AnRAXSQpEpcLW9T9r8sNXc5oR6u8M8TF665CjfEjpump,not_scam,
Du7Lzb7xMmd5H8iFZ7w1k6Fq63wM4ZHv3D5PsMhDpump,not_scam,
3MAgP2aXgaLtcJEsbL6FthAVMxsoNqEgpUubLedychtM,scam,Минт не заканчивается на 'pump'
5R2KWrCXt6S4JbuKRojSc5iJuUwwX5oG7T1grCCMpump,not_scam,
86GewxvkS7R4WKhgk8fkPe4j4qqDY4HKaXoHBLgYBGfV,scam,Минт не заканчивается на 'pump'
CBZ6wx6CcdgVWXLoKf4VNKGFV5PZPWvcF4XusUs2pump,not_scam,
AE9ertkwgkyrWYtorqwhCfB8HK15StvTxzG4Waoypump,not_scam,
9Li3L8Z9BFqZmJQC3A8m25xfveEcFsyfae2ScApEpump,not_scam,
FYidwukt6P8dmwKUbxNUihDbLhBmvenGeDkV8s1yxKq9,scam,Минт не заканчивается на 'pump'
3qq54YqAKG3TcrwNHXFSpMCWoL8gmMuPceJ4FG9npump,not_scam,
DY91UcU1KDg8iZbiVqkDW9kfntHSeNNSgYGuhJt7pump,not_scam,
6zCZ17UYZmNjsfCc87pw2RpkxMEucHX1nks22KrHGhre,scam,Минт не заканчивается на 'pump'
EfPghbUzidp4vAwP4kwSRrHJhpSs7CJfxqv2RzP1pump,not_scam,
H8AUvJdpC3SdiVFLgKHQixm8QhSGj1onDiK3g6eApump,not_scam,
8CcHom1RQwnR2LCux6aVXWFcuDG3gF4wpZAsyyL7Y4vz,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
8MtAqqnSg3chQvqtTweNDCfNU9rxYEGcHnGjXxCKpump,not_scam,
DkbaeEeFPG4ewvrsrSgkVsp67ct8VfkBzJu6DJJepump,not_scam,
CY94igcMncp1rwPfxEkGhZ7RHkTeR2PVT6ktagD8pump,scam,Бандл с девом (индекс: 2)
4H6zeD7hZkZRx1vX6yqWQTFtpQRmo1V81KM3bi77pump,not_scam,
4f9pD9GXPpdzWK3ELUYB8iMHduXuqmidaS2kJdRGpump,not_scam,
GhneqKGRNQwhS3qztawf7p7Xs9LNEQwrczqpyoUzpump,not_scam,
C6evNArGAmaghjPF6932EP3rGmf7efta45XFvF3npump,not_scam,
4Jqs59Y18z9QeZQUEaVz2CkroaiGCiUysmqbsJtupump,not_scam,
H5JYrZxHAi32s6FjjttB5DS8zLovBKoDvxo2fdMzpump,not_scam,
FHzEWNCYsBZRCVKjsTGgzwLSRkG2Ukku9DVynuJUpump,not_scam,
A9FRqPA7NtfLRD8EpPpEKCri7VUesR7tPb3onrADpump,not_scam,
4VjaoGnkdHkrxphiCKSE1Q6PcCp2J66nr73Ex6Jspump,not_scam,
FNMuvcHV1HrSp9Bvwxc4umm57DqGLJzK9mupWekn5Yq7,scam,Минт не заканчивается на 'pump'
yLxYdgvkvphJpX5Aup2NwN6WM7NWuHVDJqSn9nBNvVv,scam,Минт не заканчивается на 'pump'
GaXxwiaBctZFcVWsDuweycPnyBaVdZ2Unbvew8pFoQDW,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
pBXiWcNYHGDwC8TBDDUo2fy26gQcsPBHCSGsgL1Hd8Y,scam,Минт не заканчивается на 'pump'
5EpbKX221NYVidK6A2nJGhtuLPvrPiQ6shknLbtjBAGS,scam,Минт не заканчивается на 'pump'
7jtbE8x6aAwNT1LDKfaGMFeYJngPVTArbK3fny3qSgR4,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
Gyh8f2oPTd5ps5DfyPR1JYF5xXjbFQQt3Ykrm6NDpump,not_scam,
8DjL975fphqz5nNCzw1b9MQHofe8yCT6RibUeEnLpump,not_scam,
GXMiLJv9c5zdZcZrthzNNa2YkSbXm8KhLcuUX1Mzpump,not_scam,
6qDCdNZaLCU2vFztcHwrWUMJV9PYfd2nm1oPdj5wpump,not_scam,
BbzLBJaqbTHW331azSKH72xoJe68rptEm1qD86TApump,not_scam,
73Ced3X7v3cW7JezanEKnWAetTJGfYccqQspsax7pump,not_scam,
BUCtAGz5mXG7X32aq4dKZUJcbrTpcxYtemWCMRhupump,scam,Бандл с девом (индекс: 2)
2uk6wbuauQSkxXfoFPmfG8c9GQuzkJJDCUYUZ4b2pump,not_scam,
Gv9hoJpkc1cy4pLZ6jdbm24XgpdviewKHLQNMweepump,not_scam,
7jdqYAQ4P1N5QGA546UQedvqtDhfSmaQy9zoLqW3pump,not_scam,
D3tf5wys5ZdbFDuf96i1JDX7TG1oVfZAySUKJNCGpump,not_scam,
9aU6pj27kzBNP1JaFMqoexkawdkzR2qw5hvKX8yCpump,not_scam,
B33RX684C2DLP377oN5MkLxEjMBXaCPQCuenLvaUpump,not_scam,
6UAkMPP52w6JUrD6Vq5U2KMw6v9xLYiGDiAdcVwspump,scam,Бандл с девом (индекс: 3)
74gD6wAYQzS4h9zCQzJViuuvvz9VRvvmigNNG55Mpump,not_scam,
97WXZmHgFSzg8V2C56FjLZhVVHfhJL8sbGaUysuHpump,not_scam,
2c3XMWaZr3CotMHtxL6qh4EFbXGddaynrhXqKPkzpump,not_scam,
9aEjfjUsHCKMUhgnKDCMXgFJQaLXkoW6AeZJyB6Tpump,not_scam,
BJJydPcijV366ViPtCvTdwvbAdCcjJysjwQB6wMdpump,scam,Бандл с девом (индекс: 4)
9GHY4JJV1VFPec7Ce1fBGoPC3kN9iNF4VqycKGAVpump,not_scam,
Ar4fx364B2y3JERhnHvnkbGv7JeogUFQGqCqNfyej15z,scam,Минт не заканчивается на 'pump'
HUabbhoabFqf5E4WHrSqEzc3s12suHSLSbDv5Zsvpump,not_scam,
5qDhb12mYm51WdyZAMmGhY38HMfeWgZcL3xLmk9tpump,scam,Бандл с девом (индекс: 2)
ADmQjjuyqaZjzBaLYttfUGmMvnzvwFKuFAVvkYq97QML,scam,Бандл с девом (индекс: 2); Минт не заканчивается на 'pump'
GUhVUdAgT2VPaDL9EtCTqBptX8ENrgs5WqR3c8EJpump,not_scam,
FZN7QZ8ZUUAxMPfxYEYkH3cXUASzH8EqA6B4tyCL8f1j,scam,Минт не заканчивается на 'pump'
5tcV2pSKLetrw9R1FDPVERSTvQjxcZQHkSy7MkGyemhn,scam,Минт не заканчивается на 'pump'
X69GKB2fLN8tSUxNTMneGAQw79qDw9KcPQp3RoAk9cf,scam,Минт не заканчивается на 'pump'
GqocU5K9N2XDC2saT2ANHtGFzQDcJ9LR5xKm9cEqpump,not_scam,
7VD59ofCPmMJtwsXksrZTBrrSgN7u57EYni3JbY7pump,not_scam,
